game_id,pot_size,num_players,has_flop,has_turn,has_river,has_raise,has_all_in,did_show,is_bluff,winner
787027613,2.5,9,0,0,0,1,0,0,1,dankmann
787027929,24.95,9,1,1,1,1,0,1,0,StephCurry
787027464,2.5,9,0,0,0,1,0,0,1,AironVega
787027410,6.18,6,1,1,0,1,0,0,1,aleks0v
787027157,5.0,6,0,0,0,1,0,0,1,Sephiroth1
787027105,5.7,9,1,0,0,1,0,0,1,ElvenEyes
787026943,2.5,6,0,0,0,1,0,0,1,ElvenEyes
787026888,1.25,5,0,0,0,1,0,0,1,Beep_Beep
787026881,12.16,8,1,1,1,1,0,1,0,VamosRafaFTW
787026850,2.5,9,0,0,0,1,0,0,1,ElvenEyes
787026685,1.25,8,0,0,0,1,0,0,1,hoocher
787026640,2.5,9,0,0,0,1,0,0,1,ElvenEyes
787026582,3.0,5,0,0,0,1,0,0,1,Jui
787026454,4.3,6,1,1,1,0,0,0,1,WeakAndWeary
787026366,1.25,5,0,0,0,1,0,0,1,Jui
787026355,1.0,4,0,0,0,0,0,0,0,AironVega
787026305,5.5,8,0,0,0,1,0,0,1,VegetablesArentYummy
787026222,2.5,6,0,0,0,1,0,0,1,Sephiroth1
787026206,2.52,8,1,1,1,1,0,1,0,IlxxxlI
787026197,1.25,5,0,0,0,1,0,0,1,IampokerKidd
787026184,6.5,4,0,0,0,1,0,0,1,WeakAndWeary
787026141,3.47,4,1,1,0,1,0,0,1,IlxxxlI
787026104,0.5,8,0,0,0,0,0,0,0,wvlax1425
787026050,2.0,8,0,0,0,1,0,0,1,PANDAisEVIL
787026033,1.0,4,0,0,0,0,0,0,0,IlxxxlI
787025872,1.25,9,0,0,0,1,0,0,1,Spagetti1
787025839,1.0,4,0,0,0,0,0,0,0,WeakAndWeary
787025834,2.15,8,1,1,0,0,0,0,1,dankmann
787025799,2.5,8,0,0,0,1,0,0,1,gust
787025793,3.75,5,0,0,0,1,0,0,1,Jui
787025628,1.25,5,0,0,0,1,0,0,1,IampokerKidd
787025559,16.6,4,1,1,1,1,0,1,1,aleks0v
787025529,18.22,8,1,0,0,1,0,0,1,choiCES
787025463,0.5,5,0,0,0,0,0,0,0,foreseen
787025451,2.5,8,0,0,0,1,0,0,1,IlxxxlI
787025353,1.25,5,0,0,0,1,0,0,1,Maria_Pia
787025286,2.62,5,1,0,0,1,0,0,1,Beep_Beep
787025242,3.25,8,0,0,0,1,0,0,1,IlxxxlI
787025192,2.5,8,0,0,0,1,0,0,1,IlxxxlI
787025178,6.18,4,1,1,1,1,0,1,0,WeakAndWeary
787025140,22.55,9,1,1,1,1,0,0,1,haroldbb
787025102,1.25,5,0,0,0,1,0,0,1,Beep_Beep
787025005,2.5,8,0,0,0,1,0,0,1,IlxxxlI
787024954,0.5,5,0,0,0,0,0,0,0,IampokerKidd
787024941,15.75,8,0,0,0,1,0,0,1,IlxxxlI
787024939,2.5,4,0,0,0,1,0,0,1,WeakAndWeary
787024782,1.0,8,0,0,0,0,0,0,0,ElvenEyes
787024697,2.85,5,1,1,0,1,0,0,1,Beep_Beep
787024693,6.0,4,0,0,0,1,0,0,1,WeakAndWeary
787024673,1.25,8,0,0,0,1,0,0,1,VamosRafaFTW
787024619,3.5,5,0,0,0,1,0,0,1,IlxxxlI
787024550,1.25,5,0,0,0,1,0,0,1,Maria_Pia
787024515,2.0,4,0,0,0,1,0,0,1,AironVega
787024445,1.0,9,0,0,0,0,0,0,0,dankmann
787024412,1.25,5,0,0,0,1,0,0,1,IlxxxlI
787024367,9.46,9,1,1,1,1,0,0,1,kid4life
787024340,3.09,8,1,0,0,1,0,0,1,VamosRafaFTW
787024337,1.0,4,0,0,0,0,0,0,0,AironVega
787024299,3.5,5,0,0,0,1,0,0,1,hoocher
787024210,1.25,8,0,0,0,1,0,0,1,IlxxxlI
787024159,1.0,4,0,0,0,0,0,0,0,aleks0v
787024146,1.25,5,0,0,0,1,0,0,1,aleks0v
787024125,5.4,9,0,0,0,1,0,0,1,AironVega
787023986,4.99,8,1,0,0,1,0,0,1,hoocher
787023880,1.0,6,0,0,0,1,0,0,1,Beep_Beep
787023828,1.25,8,0,0,0,1,0,0,1,DRofBooya
787023803,0.5,8,0,0,0,0,0,0,0,BlueSmoke
787023731,2.5,9,0,0,0,1,0,0,1,ElvenEyes
787023691,0.5,6,0,0,0,0,0,0,0,Beep_Beep
787023643,3.09,5,1,0,0,1,0,0,1,jjeannin1
787023447,1.19,8,1,0,0,0,0,0,1,BlueSmoke
787023450,3.75,6,0,0,0,1,0,0,1,LawMaker20
787023431,2.5,9,0,0,0,1,0,0,1,IlxxxlI
787023410,1.19,4,1,0,0,0,0,0,1,jjeannin1
787023377,4.28,4,1,1,1,1,0,1,0,IlxxxlI
787023292,1.25,8,0,0,0,1,0,0,1,dankmann
787023149,1.19,4,1,1,1,0,0,1,0,Parcker
787022993,40.4,5,0,0,0,1,0,0,1,AironVega
787022952,7.48,8,1,1,0,1,0,0,1,IlxxxlI
787022911,6.0,9,0,0,0,1,0,0,1,StephCurry
787022860,37.42,6,1,1,1,1,0,1,1,foreseen
787022859,4.28,5,1,1,0,1,0,0,1,Parcker
787022738,1.25,8,0,0,0,1,0,0,1,Korobochka
787022685,1.25,5,0,0,0,1,0,0,1,Beep_Beep
787022634,6.5,5,0,0,0,1,0,0,1,AironVega
787022567,38.72,8,1,1,1,1,0,0,1,choiCES
787022539,1.25,8,0,0,0,1,0,0,1,IlxxxlI
787022487,2.5,9,0,0,0,1,0,0,1,StephCurry
787022482,3.5,4,0,0,0,1,0,0,1,LawMaker20
787022389,1.25,8,0,0,0,1,0,0,1,dankmann
787022313,29.22,5,1,1,1,0,0,1,0,jjeannin1
787022282,0.5,8,0,0,0,0,0,0,0,DRofBooya
787022259,2.5,5,0,0,0,1,0,0,1,WeakAndWeary
787022178,3.63,8,0,0,0,1,0,0,1,Spagetti1
787022055,2.5,9,0,0,0,1,0,0,1,dankmann
787021975,30.88,5,1,1,1,0,0,1,0,IlxxxlI
787021917,2.98,8,1,0,0,1,0,0,1,BlueSmoke
787021889,6.18,5,1,0,0,1,0,0,1,ali23imsirovic
787021775,2.0,5,0,0,0,0,0,0,0,Jui
787021649,9.25,9,0,0,0,1,0,0,1,choiCES
787021435,3.09,9,1,0,0,1,0,0,1,gorillaman68
787021407,42.29,8,1,1,1,1,0,1,0,kid4life
787021203,1.25,9,0,0,0,1,0,0,1,Spagetti1
787021174,30.92,9,1,1,1,1,0,1,0,VegetablesArentYummy
787021151,1.19,9,1,0,0,0,0,0,1,BlueSmoke
787021150,5.23,4,1,1,1,0,0,1,1,Parcker
787021027,1.25,9,0,0,0,1,0,0,1,DRofBooya
787020894,2.14,4,1,0,0,1,0,0,1,jjeannin1
787020853,0.5,9,0,0,0,0,0,0,0,haroldbb
787020820,4.52,9,1,0,0,1,0,0,1,choiCES
787020808,2.5,9,0,0,0,1,0,0,1,VegetablesArentYummy
787020651,5.0,5,0,0,0,1,0,0,1,VegetablesArentYummy
787020603,0.5,8,0,0,0,0,0,0,0,IlxxxlI
787020558,11.72,4,1,1,1,1,0,1,0,trader063
